player_id,player_name,draft_year,pick_number,college,position,college_ft_pct,prospect_archetype,size_bucket,tier3,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,advanced_projection_source,height_wo_shoes,weight,wingspan,wingspan_height_diff,standing_reach,vert_max,actual_tier_label,college_ppg,college_rpg,college_apg,college_spg,college_bpg,college_mpg,college_usg_pct,college_ast_pct,college_tov_pct,college_stl_pct,college_blk_pct,college_orb_pct,college_ts_pct,college_fg_pct,college_fg2_pct,college_fg3_pct,college_efg_pct,college_bpm,college_obpm,college_dbpm,college_fg3a_rate,college_fta_per_g,college_pos,college_season,class_year,college_fta_per_2pa,position_name,projected_nba_position,source,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,vert_standing
2026001,Cameron Boozer,2026,1,Duke,3.0,0.789,rim_runner,wing,,,,,,,,current_projection_fit,80.25,252.8,85.5,5.25,108.0,35.0,TBD,22.5,10.2,4.1,1.4,0.6,33.4,29.9,25.6,12.8,2.5,2.2,12.5,0.653,0.556,0.615,0.391,0.607,18.7,12.7,6.0,0.264,7.4,F,2025-26,FR,0.7326732673267328,PF,PF,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.8997333333333334,0.0,1.0,0.0,28.5
2026013,Cameron Carr,2026,13,Baylor,1.0,0.801,secondary_creator,guard,,,,,,,,current_projection_fit,76.5,184.4,84.75,8.25,104.0,42.5,TBD,18.9,5.8,2.6,0.9,1.3,33.7,25.3,14.6,13.6,1.5,4.0,2.3,0.622,0.494,0.602,0.374,0.582,9.2,6.9,2.3,0.471,4.9,G,2025-26,JR,0.7205882352941178,SG,SG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,38.0
2026018,Chris Cenac Jr.,2026,18,Houston,3.0,0.621,stretch_big,forward_big,,,,,,,,current_projection_fit,82.25,240.0,89.0,6.75,108.5,,TBD,9.5,7.9,0.7,0.8,0.5,24.8,19.9,5.5,9.3,1.9,2.6,10.1,0.546,0.485,0.551,0.333,0.536,7.5,3.7,3.8,0.305,1.6,C,2025-26,FR,0.29090909090909095,PF,PF,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.08362999999999995,0.0,1.0,0.0,
2026023,Christian Anderson,2026,23,Texas Tech,0.0,0.805,secondary_creator,small_guard,,,,,,,,current_projection_fit,73.0,180.4,78.25,5.25,96.5,40.5,TBD,18.5,3.6,7.4,1.5,0.2,38.4,23.8,35.2,18.3,2.2,0.7,1.8,0.626,0.472,0.558,0.415,0.597,9.4,7.1,2.3,0.602,3.6,G,2025-26,SO,0.6923076923076923,PG,PG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,31.0
2026022,Dailyn Swain,2026,22,Texas,1.0,0.815,secondary_creator,wing,,,,,,,,current_projection_fit,78.5,211.2,82.0,3.5,104.5,36.5,TBD,17.3,7.5,3.6,1.6,0.3,32.8,24.6,21.0,16.4,2.9,1.0,6.2,0.636,0.542,0.603,0.344,0.582,10.5,6.9,3.6,0.235,5.6,F,2025-26,JR,0.6666666666666666,SG,SF,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.41405,0.0,0.0,1.0,0.0,28.0
2026006,Darius Acuff Jr.,2026,6,Arkansas,0.0,0.809,secondary_creator,small_guard,,,,,,,,current_projection_fit,74.0,185.8,78.5,4.5,98.5,36.5,TBD,23.5,3.1,6.4,0.8,0.3,35.1,29.5,32.2,10.0,1.3,0.9,1.6,0.604,0.484,0.508,0.44,0.561,10.1,9.4,0.7,0.348,6.1,G,2025-26,FR,0.5648148148148148,PG,PG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,31.5
2026002,Darryn Peterson,2026,2,Kansas,1.0,0.826,secondary_creator,guard,,,,,,,,current_projection_fit,76.5,198.8,81.75,5.25,103.0,37.5,TBD,20.2,4.2,1.6,1.4,0.6,29.0,33.5,12.5,8.3,2.9,2.3,2.8,0.578,0.438,0.487,0.382,0.527,14.1,9.3,4.8,0.463,5.5,G,2025-26,FR,0.6875,SG,SG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,31.5
2026045,Dillon Mitchell,2026,45,St. John's,2.0,0.494,secondary_creator,wing,,,,,,,,current_projection_fit,78.75,202.2,82.5,3.75,104.5,38.5,TBD,8.3,7.0,3.0,1.3,0.7,28.1,14.5,18.8,11.8,2.6,2.6,9.4,0.555,0.559,0.593,0.067,0.561,9.3,3.9,5.3,0.064,2.4,F,2025-26,SR,0.39999999999999997,SF,SF,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,32.5
2026024,Ebuka Okorie,2026,24,Stanford,0.0,0.832,secondary_creator,small_guard,,,,,,,,current_projection_fit,73.25,186.0,79.75,6.5,98.0,37.5,TBD,23.2,3.6,3.6,1.6,0.3,35.1,31.0,23.9,8.7,2.7,1.0,2.4,0.589,0.465,0.526,0.354,0.528,10.6,8.4,2.2,0.354,7.3,G,2025-26,FR,0.6952380952380952,PG,PG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,31.5
2026042,Emanuel Sharp,2026,42,Houston,1.0,0.891,role_player,small_guard,,,,,,,,current_projection_fit,74.75,208.4,75.0,0.25,98.5,33.0,TBD,15.5,3.0,1.7,1.2,0.1,29.4,25.0,11.1,6.8,2.5,0.4,3.0,0.582,0.413,0.479,0.372,0.527,10.7,5.9,4.8,0.613,3.7,G,2025-26,SR,0.8222222222222223,SG,SG,projection,False,"final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,UNSCORED_MISSING_DATA,0.0,0.0,0.0,1.0,0.0,27.5
