miss_type,experiment,player_id,player_name,draft_year,validation_year,pick_number,college,position_name,prospect_archetype,tier3,pred_tier3,p_star,p_rot_plus,p_out,resid_playmaking_index,resid_defensive_event_index,resid_scoring_efficiency_index,resid_rebounding_index,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,creator_residual_star_signal,big_residual_star_signal_raw,big_residual_star_signal_cap,defensive_big_residual_fp_risk,big_residual_star_signal,wing_residual_star_signal,residual_star_signal,residual_star_signal_positive,max_gs_first_3,rotation_seasons_15_mpg,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1629627,Zion Williamson,2019,2019,1,Duke,PF,rim_runner,2,1.0,0.1422215841748072,0.7956387597555575,0.06213965606963523,,,,,0.0,0.7457079999999999,0.2542920000000001,0.8347102,0.0,,,,,,,,,61,6,True,False,1,,,,0,True,True,79.0,285.0,83.0,4.0
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1630162,Anthony Edwards,2020,2020,1,Georgia,SG,secondary_creator,2,1.0,0.14704543798093073,0.7718038552004737,0.0811507068185956,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,79,6,True,True,2,2023-24,4.0,2.0,2,True,True,77.0,225.0,81.0,4.0
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1626156,D'Angelo Russell,2015,2015,2,Ohio State,PG,secondary_creator,2,1.0,0.24136459246395234,0.5366589522714974,0.22197645526455023,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,60,15,True,False,1,,,,0,True,True,75.25,193.4,81.75,6.5
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1627742,Brandon Ingram,2016,2016,2,Duke,SF,offensive_wing,2,1.0,0.21197209246407345,0.7389028032888381,0.04912510424708849,,,,,0.6185964999999998,0.0,0.0,1.0,0.0,,,,,,,,,59,9,True,False,1,,,,0,True,True,81.0,190.0,87.0,6.0
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1629630,Ja Morant,2019,2019,2,Murray State,PG,primary_creator,2,1.0,0.07504385234744766,0.6559363022157196,0.26901984543683266,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,67,6,True,True,2,2021-22,3.0,2.0,1,True,True,75.0,175.0,79.0,4.0
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1627759,Jaylen Brown,2016,2016,3,California,SG,secondary_creator,2,1.0,0.14612210676181464,0.6739563609885657,0.1799215322496197,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,70,10,True,False,1,,,,0,True,True,77.25,222.8,83.75,6.5
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1628369,Jayson Tatum,2017,2017,3,Duke,SF,secondary_creator,2,1.0,0.13063213705970014,0.6818840012980688,0.18748386164223108,,,,,0.7138624999999998,0.0,0.0,1.0,0.0,,,,,,,,,80,8,True,True,2,2019-20,3.0,1.0,2,True,True,80.0,205.0,83.0,3.0
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1628991,Jaren Jackson Jr.,2018,2018,4,Michigan State,PF,stretch_big,2,1.0,0.11694345067690096,0.676105395705514,0.2069511536175851,,,,,0.0,0.714,0.28600000000000003,0.8140999999999999,0.0,,,,,,,,,57,8,True,False,1,,,,0,True,True,81.75,236.0,89.25,7.5
TOP5_STAR_FALSE_NEGATIVE,clean_adjusted_internal_two_stage,1630567,Scottie Barnes,2021,2021,4,Florida State,SF,secondary_creator,2,1.0,0.12822940474177652,0.7472008375936183,0.1245697576646051,,,,,0.2953263888888888,0.0,0.0,1.0,0.0,,,,,,,,,76,5,True,False,1,,,,0,True,True,79.0,225.4,86.75,7.75
