player_id,player_name,draft_year,pick_number,college,position,tier,tier3,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,max_gs_first_3,rotation_seasons_15_mpg,prospect_archetype,size_bucket,source_dataset,star_label_source,manual_star_override,height_wo_shoes,weight,wingspan,wingspan_height_diff,advanced_projection_source,actual_tier_label,years_in_college,hs_rec_rank,sheet_age_at_draft,sheet_team_strength,sheet_sos,sheet_dunks_per_game,sheet_dunk_fg_pct,sheet_dunk_share_of_rim,program_drafted_prior10,program_lottery_prior10,n_drafted_classmates,classmate_max_hs_rec_rank,classmate_sum_hs_rec_rank,pred_pick_stats_context,pred_log_pick_stats_context,college_shot_creation_unassisted_share,college_shot_creation_2pt_assisted_share,college_shot_creation_2pt_unassisted_share,college_shot_creation_non_rim_2_assisted_share,college_shot_creation_non_rim_2_unassisted_share,college_shot_creation_3pt_assisted_share,college_shot_creation_3pt_unassisted_share,college_shot_creation_rim_assisted_share,college_shot_creation_rim_unassisted_share,college_shot_creation_three_unassisted_share,college_shot_creation_unassisted_per_game,p_out_binary,actual_out_binary,out_binary_model,out_binary_feature_count,out_binary_scored,out_binary_missing_features,p_star_plus,actual_star_plus,star_plus_model,star_plus_feature_count,star_plus_scored,star_plus_missing_features,p_starter,actual_starter,starter_model,starter_feature_count,starter_scored,starter_missing_features,p_superstar,actual_superstar,superstar_model,superstar_feature_count,superstar_scored,superstar_missing_features,source,legacy_p_star,legacy_p_out,advanced_projection_source_for_translation,college_ts_pct,college_blk_pct,college_ast_pct,college_stl_pct,pred_peak_pie,pred_peak_usg_pct,p_star_plus_raw,p_superstar_raw,p_starter_raw,p_star_plus_stacked_pre_experience,p_star_plus_role_load_multiplier,p_star_creator_upshift_rescue,p_star_raw_low_out_rescue,p_star_legacy_creator_rescue,p_star_rescue,p_superstar_capped_stack_legacy,p_superstar_conditional,p_star_plus_pre_category_prior,p_star_size_bucket_prior,p_star_size_bucket_prior_pctile,p_star_size_bucket_prior_multiplier,p_star_plus_pre_maturity_discount,p_starter_pre_maturity_discount,p_out_binary_pre_maturity_discount,p_superstar_pre_maturity_discount,p_star_plus_prediction_stack,age_at_draft,p_star_plus_age_calibrated,p_out_binary_independent,p_starter_independent,p_star_plus_independent,p_superstar_independent,p_rot_plus,p_out_only,p_rot_only,p_star_only,p_superstar_only
1629614,Andrew Nembhard,2022,31,Gonzaga,0.0,0.0,,False,False,0,,,,0,False,False,0,0.0,secondary_creator,guard,,,,75.0,195.6,77.75,2.75,current_projection_fit,TBD,4.0,95.6,22.0,18.9,4.6,0.0625,0.9230769230769231,0.03896103896103896,18.0,10.0,2,100.0,200.00000000000003,41.01246303315502,3.713875996931252,0.6496350364963503,0.16666666666666666,0.8333333333333334,0.05714285714285714,0.9428571428571428,0.6938775510204082,0.30612244897959184,0.24489795918367346,0.7551020408163265,0.30612244897959184,2.870967741935484,0.8353450533978449,0,base_hist_gradient_boosting,332,True,,0.008136311248640669,0,base_logistic,332,True,,0.06340740096564353,,segment_residual_no_shot_logistic,128,True,,0.004266508787909606,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.0984796729176034,0.3743197073582613,current_projection_fit,0.564,0.4,26.3,2.7,0.0858007969385692,0.1660297000289278,0.03406338701299966,0.00072656548914098,0.004332213152026236,0.016215165285645684,0.46926290517060276,0.0087078493651754,0.0,0.006678101388860226,0.0087078493651754,0.0087078493651754,0.524378758079395,0.0087078493651754,0.09416165230118718,0.6357758620689655,0.9343651810491305,0.008136311248640669,0.06340740096564353,0.8353450533978449,0.004266508787909606,0.017923486077094195,22.43,0.0015934109845946367,0.8353450533978449,0.06340740096564353,0.008136311248640669,0.004266508787909606,0.16465494660215507,0.8353450533978449,0.1565186353535144,0.003869802460731063,0.004266508787909606
1629618,Jalen Pickett,2023,32,Penn State,0.0,0.0,,False,False,0,,,,0,False,False,0,0.0,primary_creator,small_guard,,,,74.0,197.8,79.25,5.25,current_projection_fit,TBD,4.0,0.0,23.3,8.4,6.4,0.0,0.9230769230769231,0.0,2.0,0.0,1,56.2,56.2,31.255017124518567,3.4421799112805562,0.8307692307692307,0.12962962962962962,0.8703703703703703,,,0.4888888888888889,0.5111111111111111,0.13829787234042554,0.8617021276595744,0.5111111111111111,5.837837837837838,0.7009244105253077,0,base_hist_gradient_boosting,332,True,,0.026234630032917348,0,base_logistic,332,True,,0.1205232272013096,,segment_residual_no_shot_logistic,128,True,,0.01919675484853056,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,False,"college_shot_creation_non_rim_2_assisted_share,college_shot_creation_non_rim_2_unassisted_share",trained_through_2021_post_2021_projection,0.0191770236206811,0.9000949247589308,current_projection_fit,0.577,1.6,39.2,1.6,0.1120717215066837,0.1941704036978817,0.005324356532912837,,0.026306070624540864,0.0057353796437252975,0.5375333311085241,0.024858530781853072,0.0,0.0,0.024858530781853072,,0.7317333930169336,0.024858530781853072,0.08407871198568873,0.3922413793103448,1.0553572237691875,0.026234630032917348,0.1205232272013096,0.7009244105253077,0.01919675484853056,0.010363388576761503,23.66,0.008660813533194991,0.7009244105253077,0.1205232272013096,0.026234630032917348,0.01919675484853056,0.29907558947469226,0.7009244105253077,0.2728409594417749,0.007037875184386786,0.01919675484853056
1630534,Ochai Agbaji,2022,14,Kansas,1.0,2.0,,False,False,0,,,,0,True,True,45,8.0,offensive_wing,guard,,,,76.5,216.8,82.25,5.75,current_projection_fit,TBD,4.0,73.6,21.8,16.4,8.3,0.9487179487179487,0.9024390243902439,0.25,26.0,10.0,1,74.2,74.20000000000002,19.328833606862215,2.9615979503164676,0.3705179282868526,0.4896551724137931,0.5103448275862069,0.34615384615384615,0.6538461538461539,0.8556701030927835,0.14432989690721654,0.5210084033613446,0.4789915966386554,0.14432989690721654,2.3846153846153846,0.06279789718731035,0,base_hist_gradient_boosting,332,True,,0.008986667014985005,0,base_logistic,332,True,,0.2531740698261313,,segment_residual_no_shot_logistic,128,True,,0.005158700766054082,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.0395876162529346,0.3846929042575125,current_projection_fit,0.595,1.7,8.7,1.5,0.0907031235067959,0.1811842056473555,0.00022989052495372408,2.7589465021805167e-05,0.2199507342302627,0.03710159719759212,0.5027907451944118,0.0,0.0011528969333230476,0.0,0.0011528969333230476,0.005231072792793184,0.5740393805013693,0.009617938678852023,0.09416165230118718,0.6357758620689655,0.9343651810491305,0.008986667014985005,0.2531740698261313,0.06279789718731035,0.005158700766054082,0.03779841982630861,22.17,0.0021435450390347955,0.06279789718731035,0.2531740698261313,0.008986667014985005,0.005158700766054082,0.9372021028126897,0.06279789718731033,0.9282154357977047,0.003827966248930923,0.005158700766054082
1630545,Terrence Shannon Jr.,2024,27,Illinois,2.0,0.0,,False,False,0,,,,0,False,False,2,0.0,secondary_creator,guard,,,,77.75,219.4,80.75,3.0,current_projection_fit,TBD,4.0,82.0,23.5,13.6,6.8,0.5,0.8888888888888888,0.10526315789473684,2.0,0.0,0,97.6,97.6,19.48588049394137,2.9696901260653945,0.6027397260273972,0.3140495867768595,0.6859504132231404,,,0.6103896103896104,0.38961038961038963,0.3103448275862069,0.6896551724137931,0.38961038961038963,3.473684210526316,0.09306590563780875,0,base_hist_gradient_boosting,332,True,,0.0025866208800000906,0,base_logistic,332,True,,0.2512504216653568,,segment_residual_no_shot_logistic,128,True,,0.0016171353579375615,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,False,"college_shot_creation_non_rim_2_assisted_share,college_shot_creation_non_rim_2_unassisted_share",trained_through_2021_post_2021_projection,0.0119781646254267,0.6754520340105449,current_projection_fit,0.622,2.3,12.9,1.7,0.0928407763876152,0.1857312894522003,1.3819838719294417e-06,,0.2154528054890781,0.0108634058866826,0.5169495046699113,0.0,0.0015414606279374801,0.0,0.0015414606279374801,,0.6251922616264912,0.0027683189961078846,0.09416165230118718,0.6357758620689655,0.9343651810491305,0.0025866208800000906,0.2512504216653568,0.09306590563780875,0.0016171353579375615,0.02081776228436892,23.89,0.000100260947737156,0.09306590563780875,0.2512504216653568,0.0025866208800000906,0.0016171353579375615,0.9069340943621913,0.0930659056378087,0.9043474734821912,0.000969485522062529,0.0016171353579375615
1630592,Jalen Wilson,2023,51,Kansas,2.0,0.0,,False,False,0,,,,0,False,False,22,3.0,secondary_creator,guard,,,,77.5,230.2,80.0,2.5,current_projection_fit,TBD,3.0,89.4,22.2,12.9,8.4,0.0,0.9230769230769231,0.005555555555555556,26.0,10.0,1,96.2,96.20000000000002,37.272905962094306,3.6182666809934605,0.5387755102040817,0.3333333333333333,0.6666666666666667,0.3076923076923077,0.6923076923076923,0.8,0.19999999999999996,0.34615384615384615,0.6538461538461539,0.19999999999999996,3.6666666666666665,0.99324634706641,0,base_hist_gradient_boosting,332,True,,8.336264576749258e-07,0,base_logistic,332,True,,0.006753652933589982,,segment_residual_no_shot_logistic,128,True,,5.304150584692074e-07,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.0008386222737484,0.981362706993031,current_projection_fit,0.54,1.4,12.5,1.5,0.0942903805814012,0.2004917871494796,1.3078469552977043e-06,7.864004881817996e-06,0.003412285687412402,5.6637637792747825e-06,0.5516679094597434,0.0,0.0,0.0,0.0,4.0503607387617737e-07,0.636274261194387,8.921848486893609e-07,0.09416165230118718,0.6357758620689655,0.9343651810491305,8.336264576749258e-07,0.05812894554748356,0.99324634706641,5.304150584692074e-07,0.05211443439282188,22.62,3.9338502175115914e-07,0.99324634706641,0.05812894554748356,8.336264576749258e-07,5.304150584692074e-07,0.006753652933589982,0.99324634706641,0.006752819307132307,3.0321139920571843e-07,5.304150584692074e-07
1630600,Isaiah Mobley,2022,49,Southern California,3.0,0.0,,False,False,0,,,,0,False,False,0,0.0,stretch_big,forward_big,,,,82.0,235.0,87.0,5.0,current_projection_fit,TBD,3.0,96.2,22.3,8.4,3.4,0.3125,0.7692307692307693,0.10743801652892562,10.0,4.0,0,97.6,97.6,29.759659646582747,3.39315377329273,0.5448717948717949,0.3291139240506329,0.6708860759493671,,,0.85,0.15000000000000002,0.36231884057971014,0.6376811594202898,0.15000000000000002,2.5757575757575757,0.73044301577449,0,base_hist_gradient_boosting,332,True,,0.0008795257174543745,0,base_logistic,332,True,,0.11700538461742961,,segment_residual_no_shot_logistic,128,True,,0.0005951523783607601,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,False,"college_shot_creation_non_rim_2_assisted_share,college_shot_creation_non_rim_2_unassisted_share",trained_through_2021_post_2021_projection,0.0126823188319533,0.7369713989809636,current_projection_fit,0.535,2.7,18.8,1.3,0.1064505543459272,0.1671226169901448,4.789980013788578e-06,,0.024166128200213917,0.003418607617327724,0.47101674789044307,0.0,0.0010631994362479535,0.0,0.0010631994362479535,,0.6766742194683281,0.0010631994362479535,0.09507523939808482,0.8793103448275862,0.8272443414362913,0.0008795257174543745,0.11700538461742961,0.73044301577449,0.0005951523783607601,0.014469469621225181,22.74,2.169273580459187e-05,0.73044301577449,0.11700538461742961,0.0008795257174543745,0.0005951523783607601,0.26955698422551,0.73044301577449,0.26867745850805563,0.0002843733390936144,0.0005951523783607601
1630604,E.J. Liddell,2022,41,Ohio State,3.0,0.0,,False,False,0,,,,0,False,False,0,0.0,rim_protector,guard,,,,77.5,243.0,83.75,6.25,current_projection_fit,TBD,3.0,91.4,21.1,9.5,6.3,0.46875,0.9375,0.1927710843373494,8.0,2.0,1,93.0,93.0,23.689240928815874,3.1650209758175745,0.5792079207920793,0.3523809523809524,0.6476190476190475,0.18181818181818182,0.8181818181818181,0.8043478260869565,0.19565217391304346,0.47540983606557374,0.5245901639344263,0.19565217391304346,3.65625,0.6839537982133683,0,base_hist_gradient_boosting,332,True,,0.00048106880874254594,0,base_logistic,332,True,,0.3160462017866317,,segment_residual_no_shot_logistic,128,True,,0.0002859167402078684,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.0059588761061279,0.8431316857257859,current_projection_fit,0.598,8.5,17.0,1.0,0.1063862573407446,0.1973640685527373,1.474710116591835e-07,2.823275874313105e-05,0.4619695649489586,0.0018832801602588363,0.5456539216093906,0.0,0.00051486166062223,0.0,0.00051486166062223,0.00051486166062223,0.5943364753894962,0.00051486166062223,0.09416165230118718,0.6357758620689655,0.9343651810491305,0.00048106880874254594,0.342600546870485,0.6839537982133683,0.0002859167402078684,0.026309369407112548,21.5,1.1870997025514552e-05,0.6839537982133683,0.342600546870485,0.00048106880874254594,0.0002859167402078684,0.3160462017866317,0.6839537982133683,0.31556513297788913,0.00019515206853467753,0.0002859167402078684
1631093,Jaden Ivey,2022,5,Purdue,1.0,2.0,,False,False,0,,,,0,True,True,73,5.0,secondary_creator,guard,,,,76.0,200.0,81.5,5.5,current_projection_fit,TBD,2.0,84.4,20.0,13.5,6.1,0.7777777777777778,0.9032258064516129,0.19135802469135801,10.0,0.0,0,97.6,97.6,18.18525526895713,2.900611115676538,0.6699507389162562,0.20300751879699247,0.7969924812030076,0.0,1.0,0.609375,0.390625,0.23684210526315788,0.7631578947368421,0.390625,3.675675675675676,0.4556363325345379,0,base_hist_gradient_boosting,332,True,,0.010906710488014159,0,base_logistic,332,True,,0.37149326027502166,,segment_residual_no_shot_logistic,128,True,,0.0037487998921667174,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.046002960205789,0.3548086084418111,current_projection_fit,0.579,2.0,19.2,1.7,0.0894126566798303,0.2031210823129619,6.891070803700888e-06,1.5302322625927506e-05,0.5432971318841615,0.025042340131891012,0.557004825830255,0.0,0.0,0.0,0.0,0.007877901457010549,0.3437149905360036,0.011672856297756953,0.09416165230118718,0.6357758620689655,0.9343651810491305,0.010906710488014159,0.37149326027502166,0.4556363325345379,0.0037487998921667174,0.06526285480609569,20.35,0.006637258786056408,0.4556363325345379,0.37149326027502166,0.010906710488014159,0.0037487998921667174,0.5443636674654622,0.45563633253453784,0.533456956977448,0.007157910595847441,0.0037487998921667174
1631094,Paolo Banchero,2022,1,Duke,3.0,3.0,,True,False,1,,,,0,True,True,80,4.0,dominant_big,forward_big,,,,82.0,250.0,84.5,2.5,current_projection_fit,TBD,1.0,99.8,19.2,14.7,5.6,1.0512820512820513,0.9318181818181818,0.23404255319148937,50.0,24.0,5,99.8,481.8,3.272168719078984,1.185452981921789,0.5690376569037656,0.32432432432432434,0.6756756756756757,0.16129032258064516,0.8387096774193549,0.8863636363636364,0.11363636363636365,0.4065040650406504,0.5934959349593496,0.11363636363636365,3.5789473684210527,0.0009800613609809146,0,base_hist_gradient_boosting,332,True,,0.13115421882597778,0,base_logistic,332,True,,0.8394194698078317,,segment_residual_no_shot_logistic,128,True,,0.07673580773687468,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.395127498754672,0.0444346382514774,current_projection_fit,0.557,2.7,17.5,1.9,0.1242532714737895,0.2178149087664679,0.9974707614257786,0.00015387287785819046,0.9970350685590537,0.39474024956048154,0.5758319647108768,0.0,0.06696075427459432,0.0,0.06696075427459432,0.15854350674464948,0.5850807425317498,0.15854350674464948,0.09507523939808482,0.8793103448275862,0.8272443414362913,0.13115421882597778,0.8394194698078317,0.0009800613609809146,0.07673580773687468,0.12905005681302878,19.6,0.548342371577633,0.0009800613609809146,0.8394194698078317,0.13115421882597778,0.07673580773687468,0.9990199386390191,0.0009800613609809439,0.8678657198130413,0.0544184110891031,0.07673580773687468
1631095,Jabari Smith Jr.,2022,3,Auburn,3.0,2.0,,False,False,0,,,,0,True,True,79,4.0,playmaking_forward,forward_big,,,,82.0,220.0,85.0,3.0,current_projection_fit,TBD,1.0,99.0,18.7,14.0,5.7,0.4117647058823529,0.9333333333333333,0.23809523809523808,8.0,2.0,1,99.0,96.0,4.095766001828352,1.409953757645439,0.48633879781420764,0.35106382978723405,0.648936170212766,0.30612244897959184,0.6938775510204082,0.7341772151898734,0.26582278481012656,0.4,0.6,0.26582278481012656,2.6176470588235294,0.005764548170046497,0,base_hist_gradient_boosting,332,True,,0.04625961729064664,0,base_logistic,332,True,,0.9203015195563385,,segment_residual_no_shot_logistic,128,True,,0.025179872942751633,0,base_plus_signal_full_shot_scores_hist_gradient_boosting,383,True,,trained_through_2021_post_2021_projection,0.1611867912430591,0.0224424973549676,current_projection_fit,0.57,3.8,14.0,2.1,0.1213798682417932,0.2385438981876043,0.09955986806250502,0.0016822191571914215,0.9996181747131324,0.16025762222056325,0.589663567799058,0.0,0.045042304613585195,0.0,0.045042304613585195,0.05592013746546641,0.5443164993032231,0.05592013746546641,0.09507523939808482,0.8793103448275862,0.8272443414362913,0.04625961729064664,0.9203015195563385,0.005764548170046497,0.025179872942751633,0.26774185995008176,19.1,0.15261286188469114,0.005764548170046497,0.9203015195563385,0.04625961729064664,0.025179872942751633,0.9942354518299535,0.005764548170046457,0.9479758345393069,0.02107974434789501,0.025179872942751633
