player_id,player_name,draft_year,pick_number,college,position,tankathon_position,tankathon_class,college_pos,college_season,class_year,tankathon_age,tankathon_source_rank,measurement_source,college_stats_source,prospect_archetype,size_bucket,height_wo_shoes,weight,wingspan,wingspan_height_diff,position_name,projected_nba_position,model_label,college_mpg,college_ppg,college_rpg,college_apg,college_spg,college_bpg,college_tov,college_usg_pct,college_ast_pct,college_tov_pct,college_stl_pct,college_blk_pct,college_orb_pct,college_drb_pct,college_ts_pct,college_bpm,college_obpm,college_dbpm,college_fg_pct,college_fg2_pct,college_fg3_pct,college_sos,college_fg3a_rate,college_ftr,college_ft_pct,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
2026046,Otega Oweh,2026,46,Kentucky,1.0,SG,Senior,SG,2025-26,SR,22.9,46,,Sports-Reference,two_way_wing,guard,77.5,216.0,,,SG,SG,best_star_precision,25.5,13.3,3.9,1.5,1.5,0.4,1.6,26.6,11.4,12.1,3.4,1.5,4.3,13.1,0.556,6.4,2.9,3.6,0.478,0.512,0.347,12.96,0.206,0.446,0.721,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026047,Bruce Thornton,2026,47,Ohio State,0.0,PG,Senior,PG,2025-26,SR,22.8,47,,Sports-Reference,secondary_creator,small_guard,73.25,223.0,,,PG,PG,best_star_precision,34.1,15.9,3.7,4.0,1.1,0.1,1.3,22.0,23.0,9.1,1.8,0.4,1.8,10.9,0.604,8.7,6.4,2.3,0.486,0.551,0.381,,0.379,0.359,0.829,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026048,Maliq Brown,2026,48,Duke,3.0,PF,Senior,PF,2025-26,SR,22.6,48,,Sports-Reference,dominant_big,forward_big,81.25,217.0,,,PF,PF,best_star_precision,21.7,5.8,5.2,1.5,1.6,0.6,1.1,12.3,11.6,20.1,4.2,3.3,10.8,16.5,0.684,8.6,3.1,5.5,0.675,0.738,0.262,12.15,0.132,0.306,0.596,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026049,Tyler Nickel,2026,49,Vanderbilt,1.0,SG,Senior,SG,2025-26,SR,22.8,49,,Sports-Reference,offensive_wing,wing,79.25,217.0,,,SG,SG,best_star_precision,22.7,9.2,2.2,1.0,0.5,0.4,0.5,18.1,7.9,6.4,1.3,1.8,2.8,8.7,0.604,6.1,5.2,0.9,0.433,0.54,0.394,,0.733,0.202,0.838,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026050,Tyler Bilodeau,2026,50,UCLA,3.0,PF,Senior,PF,2025-26,SR,22.2,50,,Sports-Reference,dominant_big,wing,80.5,228.0,,,PF,PF,best_star_precision,26.5,13.1,4.9,1.1,0.6,0.4,1.3,24.3,9.2,10.6,1.3,1.7,5.3,17.4,0.604,5.4,4.3,1.1,0.506,0.552,0.4,,0.299,0.323,0.807,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026051,Felix Okpara,2026,51,Tennessee,4.0,C,Senior,C,2025-26,SR,22.2,51,,Sports-Reference,dominant_big,forward_big,83.25,237.0,,,C,C,best_star_precision,23.0,6.4,5.7,0.4,0.4,1.7,0.9,13.7,3.1,14.5,1.0,8.5,11.1,17.2,0.606,5.2,1.3,3.9,0.59,0.602,0.261,12.7,0.035,0.336,0.645,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026052,Braden Smith,2026,52,Purdue,0.0,PG,Senior,PG,2025-26,SR,22.9,52,,Sports-Reference,secondary_creator,small_guard,71.5,167.0,,,PG,PG,best_star_precision,34.0,13.0,4.5,7.4,1.7,0.2,2.7,21.9,38.8,18.5,3.0,0.6,2.4,13.3,0.554,9.3,5.6,3.7,0.436,0.471,0.385,,0.403,0.261,0.832,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026053,Tamin Lipsey,2026,53,Iowa State,0.0,PG,Senior,PG,2025-26,SR,22.9,53,,Sports-Reference,secondary_creator,small_guard,73.0,200.0,,,PG,PG,best_star_precision,30.8,11.0,3.8,4.4,2.3,0.1,1.9,19.6,25.7,16.0,4.4,0.4,4.8,10.2,0.548,9.5,3.7,5.8,0.459,0.52,0.335,10.27,0.331,0.348,0.71,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026054,Milos Uzan,2026,54,Houston,0.0,PG,Senior,PG,2025-26,SR,23.5,54,,Sports-Reference,secondary_creator,guard,76.25,185.0,,,PG,PG,best_star_precision,31.3,9.9,3.0,3.9,1.0,0.2,1.7,18.9,23.6,15.0,1.9,0.6,1.1,10.0,0.516,5.6,2.3,3.3,0.419,0.46,0.364,11.7,0.429,0.15,0.746,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026055,Kylan Boswell,2026,55,Illinois,0.0,PG,Senior,PG,2025-26,SR,21.2,55,,Sports-Reference,secondary_creator,small_guard,74.5,226.0,,,PG,PG,best_star_precision,25.6,9.6,3.1,2.9,1.0,0.1,1.4,19.2,18.9,14.1,2.2,0.3,3.4,9.6,0.544,6.1,2.7,3.4,0.425,0.517,0.327,12.23,0.484,0.3,0.787,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
