player_id,player_name,draft_year,pick_number,college,prospect_archetype,size_bucket,tier,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff,actual_tier_label,source,experiment,train_through_year,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
1631097,Bennedict Mathurin,2022,6,Arizona,two_way_wing,guard,2.0,False,False,0,,,,0,True,True,76.5,204.6,81.0,4.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.13840125669434544,0.8058265731633178,0.05577217014233671,0.8615987433056546,1.0,ROT+
1631169,Josh Minott,2022,45,Memphis,rim_runner,wing,0.0,False,False,0,,,,0,False,False,80.0,205.0,83.0,3.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6721908094962327,0.2728225393207061,0.054986651183061216,0.32780919050376733,0.0,OUT
1631211,Trevor Keels,2022,42,Duke,offensive_wing,guard,0.0,False,False,0,,,,0,False,False,75.25,223.8,79.25,4.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.39169940217347926,0.5601178934026324,0.048182704423888306,0.6083005978265207,0.0,OUT
1631093,Jaden Ivey,2022,5,Purdue,secondary_creator,guard,2.0,False,False,0,,,,0,True,True,76.0,200.0,81.5,5.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.35480860844181117,0.5991884313523999,0.046002960205789006,0.6451913915581888,0.0,OUT
1631104,Blake Wesley,2022,25,Notre Dame,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,75.0,187.2,81.25,6.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7247593095285536,0.23131390745582303,0.04392678301562335,0.2752406904714464,0.0,OUT
1631120,JD Davison,2022,53,Alabama,secondary_creator,small_guard,0.0,False,False,0,,,,0,False,False,72.5,191.8,78.5,6.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6254116948664833,0.3320806925329738,0.042507612600542914,0.3745883051335167,0.0,OUT
1630534,Ochai Agbaji,2022,14,Kansas,offensive_wing,guard,2.0,False,False,0,,,,0,True,True,76.5,216.8,82.25,5.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.38469290425751257,0.5757194794895527,0.03958761625293467,0.6153070957424874,0.0,OUT
1631116,Patrick Baldwin Jr.,2022,28,Wisconsin-Milwaukee,secondary_creator,forward_big,0.0,False,False,0,,,,0,False,False,81.25,230.8,85.75,4.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6964183511879827,0.26599300464631676,0.03758864416570051,0.30358164881201727,0.0,OUT
1631212,Peyton Watson,2022,30,California-Los Angeles,role_player,wing,0.0,False,False,0,,,,0,False,False,78.75,203.4,84.5,5.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5001818396574504,0.46247723803543356,0.03734092230711593,0.4998181603425495,0.0,OUT
1631119,Jaylin Williams,2022,34,Arkansas,rim_runner,wing,0.0,False,False,0,,,,0,False,False,80.75,236.6,85.0,4.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.565158785694553,0.4018443733818202,0.032996840923626834,0.43484121430544703,0.0,OUT
1631133,Jabari Walker,2022,57,Colorado,stretch_big,wing,0.0,False,False,0,,,,0,False,False,78.75,213.8,82.75,4.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.565208238311522,0.40318905553108525,0.0316027061573927,0.43479176168847794,0.0,OUT
1631222,Jake LaRavia,2022,19,Wake Forest,rim_runner,wing,1.0,False,False,0,,,,0,False,True,78.75,227.2,81.5,2.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7869362739378712,0.1847825560677689,0.02828116999435997,0.21306372606212887,0.0,OUT
1631106,Tari Eason,2022,17,Louisiana State,rim_runner,wing,1.0,False,False,0,,,,0,False,True,78.75,217.4,86.0,7.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6075488837583907,0.3649921668259126,0.02745894941569676,0.3924511162416094,0.0,OUT
1631223,David Roddy,2022,23,Colorado State,rim_runner,guard,0.0,False,False,0,,,,0,False,False,76.5,260.8,83.5,7.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6896484013325215,0.28671643530152385,0.02363516336595462,0.31035159866747847,0.0,OUT
