miss_type,experiment,player_id,player_name,draft_year,validation_year,pick_number,college,position_name,prospect_archetype,tier3,pred_tier3,p_star,p_rot_plus,p_out,resid_playmaking_index,resid_defensive_event_index,resid_scoring_efficiency_index,resid_rebounding_index,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,creator_residual_star_signal,big_residual_star_signal_raw,big_residual_star_signal_cap,defensive_big_residual_fp_risk,big_residual_star_signal,wing_residual_star_signal,residual_star_signal,residual_star_signal_positive,max_gs_first_3,rotation_seasons_15_mpg,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203954,Joel Embiid,2014,2014,3,Kansas,C,rim_runner,2,1.0,0.18775036410478096,0.4796812166194176,0.3325684192758015,-0.4183396559393506,1.741116006151871,1.3833067023199823,0.7286351855832426,0.0,0.5924666666666666,0.4075333333333334,0.7351033333333332,0.0,-0.0,1.39549612050539,0.7351033333333332,0.5687111856432967,1.025833849837247,0.0,1.025833849837247,1.025833849837247,31,9,True,True,2,2017-18,4.0,2.0,2,False,True,84.0,250.0,88.98,4.980000000000004
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1627759,Jaylen Brown,2016,2016,3,California,SG,secondary_creator,2,0.0,0.09662716317909265,0.4301358593069839,0.47323697751392346,-0.7302943012746801,-0.5081889174448967,-0.6033484052337758,-0.478756751900509,0.0,0.0,0.0,1.0,0.0,-0.7302943012746801,-0.0,1.0,-0.0,-0.0,-0.5578188434451051,-0.0,-0.0,70,10,True,False,1,,,,0,True,True,77.25,222.8,83.75,6.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628369,Jayson Tatum,2017,2017,3,Duke,SF,secondary_creator,2,0.0,0.15506427684597474,0.37849102369692966,0.46644469945709555,-0.45066629796670643,0.24944219840001988,-0.10872939113688868,-0.3470217502315645,0.7138624999999998,0.0,0.0,1.0,0.0,-0.45066629796670643,-0.0,1.0,-0.0,-0.0,-0.06522149730088762,-0.0,-0.0,80,8,True,True,2,2019-20,3.0,1.0,2,True,True,80.0,205.0,83.0,3.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,201566,Russell Westbrook,2008,2008,4,California-Los Angeles,PG,two_way_wing,2,0.0,0.09598894798499291,0.38598269058034607,0.518028361434661,0.2214053570295319,-0.2892791305916073,-0.4986560703522558,0.0,0.0,0.0,0.0,1.0,0.0,0.2214053570295319,-0.0,1.0,-0.0,-0.0,-0.25363678462739886,0.2214053570295319,0.2214053570295319,82,20,True,True,2,2010-11,3.0,2.0,3,True,True,74.25,192.0,79.75,5.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628991,Jaren Jackson Jr.,2018,2018,4,Michigan State,PF,stretch_big,2,1.0,0.11698498066635078,0.457753865383256,0.4252611539503932,-0.21252864272662483,1.4170141843813358,1.5998249340305082,-0.3014342598130991,0.0,0.714,0.28600000000000003,0.8140999999999999,0.0,-0.0,1.1464487954021176,0.8140999999999999,0.32788435548500566,0.9333239643368639,0.0,0.9333239643368639,0.9333239643368639,57,8,True,False,1,,,,0,True,True,81.75,236.0,89.25,7.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1630567,Scottie Barnes,2021,2021,4,Florida State,SF,secondary_creator,2,1.0,0.1381045967669997,0.4287932285242052,0.4331021747087951,0.5443654856717979,0.43756086384196674,-0.34718214940031644,-0.7496993528844449,0.2953263888888888,0.0,0.0,1.0,0.0,0.5443654856717979,-0.0,1.0,-0.0,-0.0,-0.06387077195513159,0.5443654856717979,0.5443654856717979,76,5,True,False,1,,,,0,True,True,79.0,225.4,86.75,7.75
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,202326,DeMarcus Cousins,2010,2010,5,Kentucky,C,dominant_big,2,1.0,0.17099719964120375,0.49787713450504323,0.331125665853753,0.428945943771542,0.8428112454752069,0.7463418263043251,1.6726621739819378,0.0,0.48862499999999975,0.5113750000000002,0.6676062499999998,0.0,0.0,0.9701936635082005,0.6676062499999998,0.49613278467650623,0.6477073534684714,0.0,0.6477073534684714,0.6477073534684714,74,12,True,True,2,2014-15,5.0,2.0,1,True,True,81.5,291.8,89.75,8.25
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628368,De'Aaron Fox,2017,2017,5,Kentucky,PG,primary_creator,2,1.0,0.10674847316716593,0.45990067499417886,0.4333508518386552,0.7258138263906546,0.004056140296851474,0.04955668050758169,-0.13622697159330913,0.0,0.0,0.0,1.0,0.0,0.7258138263906546,-0.0,1.0,-0.0,-0.0,0.0,0.7258138263906546,0.7258138263906546,81,10,True,False,1,,,,0,True,True,74.0,169.6,78.5,4.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629027,Trae Young,2018,2018,5,Oklahoma,PG,secondary_creator,2,0.0,0.08245457485688655,0.3654830357150031,0.5520623894281103,0.4809532659378755,0.35321963485366864,0.9500643851709575,-0.14207918121751054,0.0,0.0,0.0,1.0,0.0,0.4809532659378755,0.0,1.0,0.0,0.0,0.47582889735890466,0.4809532659378755,0.4809532659378755,81,7,True,True,2,2021-22,4.0,3.0,1,True,True,72.5,177.8,75.0,2.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629636,Darius Garland,2019,2019,5,Vanderbilt,PG,secondary_creator,2,0.0,0.12185094309521607,0.38963365099463054,0.4885154059101534,-0.46236621754908364,-0.5657673812583545,0.10730041964134442,0.0225933946279679,0.0,0.0,0.0,1.0,0.0,-0.46236621754908364,-0.0,1.0,-0.0,-0.0,-0.2021813793952683,-0.0,-0.0,68,8,True,False,1,,,,0,True,True,74.0,175.0,77.0,3.0
