player_id,player_name,draft_year,pick_number,college,prospect_archetype,size_bucket,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,height_wo_shoes,weight,wingspan,wingspan_height_diff,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier,resid_playmaking_index,resid_defensive_event_index,resid_scoring_efficiency_index,resid_rebounding_index,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,creator_residual_star_signal,big_residual_star_signal_raw,big_residual_star_signal_cap,defensive_big_residual_fp_risk,big_residual_star_signal,wing_residual_star_signal,residual_star_signal,residual_star_signal_positive
2026003,AJ Dybantsa,2026,3,BYU,secondary_creator,wing,,,,,,,,80.5,217.0,84.25,3.75,True,,0.03283863219627899,0.49415303745274414,0.47300833035097695,0.9671613678037211,STAR,0.3647842773313838,-0.054808448249268185,0.4620878360204103,-0.5937189957563195,0.6641249999999999,0.0,0.0,1.0,0.0,0.3647842773313838,0.0,1.0,0.0,0.0,0.060282414301774216,0.3647842773313838,0.3647842773313838
2026009,Mikel Brown Jr.,2026,9,Louisville,secondary_creator,guard,,,,,,,,75.5,190.0,79.5,4.0,True,,0.03647137132627515,0.5004136894190013,0.46311493925472363,0.963528628673725,STAR,0.07971210884334706,0.22761430093804427,0.6319008887996518,-0.46737596217315525,0.0,0.0,0.0,1.0,0.0,0.07971210884334706,0.0,1.0,0.0,0.0,0.21532633485789723,0.21532633485789723,0.21532633485789723
2026004,Caleb Wilson,2026,4,North Carolina,dominant_big,forward_big,,,,,,,,81.25,211.0,84.25,3.0,True,,0.03738362906838768,0.5037178596764175,0.45889851125519493,0.9626163709316125,STAR,0.8937408935329669,1.216082095979239,0.9435147039790451,0.5088544413281134,0.0,0.7637499999999997,0.0,1.0,0.0,0.0,0.9656096082489365,1.0,0.0,0.9656096082489365,0.0,0.9656096082489365,0.9656096082489365
2026006,Darius Acuff Jr.,2026,6,Arkansas,secondary_creator,small_guard,,,,,,,,74.0,186.0,79.0,5.0,True,,0.04372438128079944,0.5431748305519134,0.41310078816728724,0.9562756187192006,STAR,1.0277600947308496,-0.2379674970313932,0.21909966436156544,-0.3603491837432441,0.0,0.0,0.0,1.0,0.0,1.0277600947308496,-0.0,1.0,-0.0,-0.0,0.024102431289996423,1.0277600947308496,1.0277600947308496
2026008,Brayden Burries,2026,8,Arizona,offensive_wing,guard,,,,,,,,75.75,215.0,78.0,2.25,True,,0.03299898711289173,0.5850151999672385,0.3819858129198698,0.9670010128871083,STAR,0.0316145543234741,0.4396908642926596,0.7937175338349124,-0.34587489012604505,0.0,0.0,0.0,1.0,0.0,0.0316145543234741,0.0,1.0,0.0,0.0,0.36567941675178856,0.36567941675178856,0.36567941675178856
2026007,Kingston Flemings,2026,7,Houston,primary_creator,small_guard,,,,,,,,74.5,183.0,75.5,1.0,True,,0.06894171548943458,0.557451727043652,0.37360655746691346,0.9310582845105655,STAR,1.119865813147428,0.8885807542315365,-0.08966333254943486,0.24505697481508146,0.0,0.0,0.0,1.0,0.0,1.119865813147428,0.0,1.0,0.0,0.0,0.0,1.119865813147428,1.119865813147428
2026001,Cameron Boozer,2026,1,Duke,secondary_creator,wing,,,,,,,,80.25,253.0,85.5,5.25,True,,0.03136560066634159,0.6196509280398149,0.3489834712938435,0.9686343993336584,STAR,0.8027913196861076,0.68351668062265,1.4237012978575962,1.9691528265161624,0.7965475,0.0,0.0,1.0,0.0,0.8027913196861076,0.0,1.0,0.0,0.0,1.2116359897399294,1.2116359897399294,1.2116359897399294
2026005,Keaton Wagler,2026,5,Illinois,secondary_creator,guard,,,,,,,,77.0,188.0,78.25,1.25,True,,0.04199251181359429,0.6314876618895918,0.3265198262968139,0.9580074881864058,STAR,0.6066310777324608,-0.04712929034350315,1.047617103335757,0.0015915352334149313,0.0,0.0,0.0,1.0,0.0,0.6066310777324608,0.0,1.0,0.0,0.0,0.41115214936721795,0.6066310777324608,0.6066310777324608
2026010,Nate Ament,2026,10,Tennessee,playmaking_forward,forward_big,,,,,,,,81.5,211.0,83.5,2.0,True,,0.1726053151115185,0.5091018572290846,0.3182928276593969,0.8273946848884816,STAR,0.35424146662235106,0.1733017924701137,0.4032240505736599,-1.0947006050288568,0.7431300000000001,0.6766666666666666,0.0,1.0,0.0,0.35424146662235106,0.011670216211738083,1.0,0.0,0.011670216211738083,0.0,0.35424146662235106,0.35424146662235106
2026024,Ebuka Okorie,2026,24,Stanford,secondary_creator,small_guard,,,,,,,,73.25,186.0,79.75,6.5,True,,0.05244065704113544,0.6314031054249534,0.31615623753391114,0.9475593429588645,STAR,0.8022502076643421,0.6556051397334861,0.4748588620846273,-0.8113203164412912,0.0,0.0,0.0,1.0,0.0,0.8022502076643421,0.0,1.0,0.0,0.0,0.3136233581145156,0.8022502076643421,0.8022502076643421
