player_id,player_name,draft_year,pick_number,college,position,position_source,prospect_archetype,size_bucket,tier3,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,height_wo_shoes,weight,wingspan,wingspan_height_diff,standing_reach,estimated_arm_length,college_shot_creation_unassisted_share,college_shot_creation_2pt_assisted_share,college_shot_creation_2pt_unassisted_share,college_shot_creation_non_rim_2_assisted_share,college_shot_creation_non_rim_2_unassisted_share,college_shot_creation_3pt_assisted_share,college_shot_creation_3pt_unassisted_share,college_shot_creation_rim_assisted_share,college_shot_creation_rim_unassisted_share,college_shot_creation_three_unassisted_share,college_shot_creation_unassisted_per_game,p_role_family_changed,p_creator_upshift,tall_wing_creation_scale,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,position_name,projected_nba_position,college_mpg,college_usg_pct,college_ast_pct,college_tov_pct,college_stl_pct,college_blk_pct,college_orb_pct,college_ts_pct,college_bpm,college_obpm,college_dbpm,college_fg3a_rate,college_ft_pct,college_fta_per_g,college_pos,college_season,class_year,college_fta_per_2pa,source,pred_peak_mpg,pred_peak_ppg,pred_peak_usg_pct,pred_peak_pct_fga_3pt,pred_peak_ast_pct,pred_peak_tov_pct,pred_peak_orb_pct,pred_peak_reb_pct,pred_peak_stl_pct,pred_peak_blk_pct,usage_analog_best_peak_usg_pct,usage_analog_mean_peak_usg_pct,usage_analog_weighted_peak_usg_pct,usage_analog_peak_usg_gap_from_college,usage_analog_distance,usage_analog_neighbor_count,usage_analog_best_player_id,usage_analog_best_player_name,usage_analog_top3_player_names,pred_nba_peak_shot_3pa_rate,pred_nba_peak_shot_rim_rate,pred_nba_peak_shot_short2_rate,pred_nba_peak_shot_medium2_rate,pred_nba_peak_shot_long2_rate,pred_nba_peak_shot_short3_rate,pred_nba_peak_shot_long3_rate,pred_nba_peak_shot_rim_2pa_share,pred_nba_peak_shot_short2_2pa_share,pred_nba_peak_shot_medium2_2pa_share,pred_nba_peak_shot_long2_2pa_share,pred_nba_peak_shot_short3_3pa_share,pred_nba_peak_shot_long3_3pa_share,pred_nba_peak_shot_3pa_delta_from_college,pred_nba_peak_shot_rim_delta_from_college,pred_nba_peak_shot_medium2_delta_from_college,pred_nba_peak_shot_long2_delta_from_college,pred_nba_peak_shot_short3_delta_from_college,pred_nba_peak_shot_long3_delta_from_college,pred_nba_peak_shot_rim_2pa_share_retention,pred_nba_peak_shot_medium2_2pa_share_retention,pred_nba_peak_shot_long2_2pa_share_retention,pred_nba_peak_shot_short3_3pa_share_retention,pred_nba_peak_shot_long3_3pa_share_retention,pred_direct_peak_ts_pct,pred_staged_peak_ts_pct,pred_peak_ts_pct,pred_direct_career_fg3_pct_target,pred_staged_career_fg3_pct_target,pred_career_fg3_pct_target,pred_direct_peak_pie,pred_staged_peak_pie,pred_peak_pie,pred_direct_peak_bpm,pred_staged_peak_bpm,pred_peak_bpm,pred_direct_peak_ws,pred_staged_peak_ws,pred_peak_ws,pred_direct_peak_ws_per_48,pred_staged_peak_ws_per_48,pred_peak_ws_per_48,pred_direct_peak_vorp,pred_staged_peak_vorp,pred_peak_vorp,pred_identity_peak_ppg,pred_peak_pts_per36,pred_peak_reb_per36,pred_peak_ast_per36,pred_peak_stl_per36,pred_peak_blk_per36,pred_peak_tov_per36,pred_peak_fga_per36,pred_peak_fta_per36,pred_peak_rpg,pred_peak_apg,pred_peak_spg,pred_peak_bpg,pred_peak_tov_pg,pred_peak_fga_pg,pred_peak_fta_pg,pred_nba_zone_rim_share,pred_nba_zone_rim_fg_pct,pred_nba_zone_3pt_share,pred_nba_zone_mid_share,pred_composite_peak_pie,pred_peak_pts_per36_q90,pred_peak_usg_pct_q90,pred_peak_pie_q90,pred_peak_mpg_q90,pred_peak_fg3_pct,pred_direct_peak_fg3_pct,pred_staged_peak_fg3_pct,advanced_projection_source
2026001,Cameron Boozer,2026,1,Duke,3.0,,rim_runner,wing,,,,,,,,,80.25,253.0,85.5,5.25,108.0,,0.5655172413793104,0.3559322033898305,0.6440677966101696,0.05555555555555555,0.9444444444444444,0.7777777777777778,0.2222222222222222,0.38073394495412843,0.6192660550458715,0.2222222222222222,4.315789473684211,0.8230618822138391,0.48524636692799883,0.69265,0.0,0.8997333333333334,0.0,1.0,0.0,PF,PF,33.4,29.9,25.6,12.8,2.5,2.2,12.5,0.653,18.7,12.7,6.0,0.264,0.789,7.4,F,2025-26,FR,0.7270495049504951,projection,30.113838814428817,18.30716267529462,0.24860101128252865,0.385905062237442,0.22469012622267906,0.1000597938410796,0.05045711279461277,0.10957321958323493,0.014855689503139962,0.013811433925185287,0.206,0.197125,0.1983294222595332,-0.10067057774046678,0.7995973714504778,8.0,1628976,Wendell Carter Jr.,"Wendell Carter Jr., Zion Williamson, Xavier Tillman",0.3233377992863968,0.4373054951925692,0.12615311265605972,0.05901391763248341,0.05418967523249074,0.15693706861090786,0.16640073067548874,0.6268595369808688,0.18484184102641607,0.09907877277196807,0.08921984922074623,0.4763355834011799,0.52366441659882,0.060564076658659594,-0.12137379312859864,0.034055736367276615,0.04459037474587274,-0.05442440393748943,0.11498848059614894,0.8271960900366104,2.9266345188027545,6.852084420153329,0.5922009955798452,2.6765070181717467,0.5788730766006549,0.5762487685969302,0.5762487685969302,0.3492243602144778,0.3492243602144778,0.3492243602144778,0.12825124111654665,0.13029171716983703,0.12825124111654665,0.861279791267997,1.0371306809376284,1.0371306809376284,5.205936194202264,5.651823655090598,5.651823655090598,0.14454991542636206,0.14885259815564753,0.14885259815564753,1.9883856180542672,2.1166381605805222,2.1166381605805222,19.962454076078984,20.060865975534192,8.642603296898105,5.598680662682628,1.2259150938176426,0.548711271437561,2.9644564917408283,15.436500625856695,4.877112920832963,7.22949896166224,4.6832713069301155,1.025472487094441,0.45899452177030586,2.4797545823519567,12.912563658496614,4.079683121603666,0.41818611855820176,0.6188977298713058,0.385905062237442,0.19590881920435627,0.13395373996415486,29.91346344466265,0.3302627576591952,0.1760667908716323,39.03876642890543,0.3492243602144778,0.3492243602144778,0.3492243602144778,current_projection_fit
2026006,Darius Acuff Jr.,2026,6,Arkansas,0.0,,secondary_creator,small_guard,,,,,,,,,74.0,186.0,79.0,5.0,98.5,,0.6319444444444444,0.2182741116751269,0.7817258883248731,0.18571428571428572,0.8142857142857143,0.6923076923076923,0.3076923076923077,0.23622047244094488,0.7637795275590551,0.3076923076923077,4.918918918918919,0.24015771451319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PG,PG,35.1,29.5,32.2,10.0,1.3,0.9,1.6,0.604,10.1,9.4,0.7,0.348,0.809,6.1,G,2025-26,FR,0.5652777777777778,projection,27.472983533139768,16.764873991070026,0.2535363337824048,0.38365078795918767,0.20237110891957494,0.0907225206143064,0.021735784632034634,0.0702111677807549,0.011692994581629954,0.00769846265906163,0.242,0.261,0.26081171265644437,-0.03418828734355561,0.6984630198647186,8.0,203504,Trey Burke,"Trey Burke, Brandon Knight, Collin Sexton",0.38164697467030095,0.20006354809500262,0.1607308869984341,0.131469935657908,0.126088654578354,0.14421860991383728,0.23742836475646373,0.3302529067654194,0.2559815370000491,0.21113861151849744,0.20262694471603396,0.3364833299666241,0.6635166700333758,0.03013182315514945,-0.09515669557884929,0.028564593577308187,0.014748448392786995,-0.14106904928686542,0.17120087244201493,0.7322178732856157,1.3429800208061806,1.1912008265124423,0.41459553156601897,3.5217423255617653,0.5577288279737681,0.559650449607502,0.559650449607502,0.3742213087449169,0.3742213087449169,0.3742213087449169,0.12351679647612676,0.12048381143029167,0.12351679647612676,0.3503597176304623,0.3875072301690309,0.3875072301690309,4.184963805607281,4.342406058331006,4.342406058331006,0.1114356768051427,0.11117152816826044,0.11117152816826044,1.339752110162351,1.373823920744364,1.373823920744364,17.167626880446946,19.540187540908285,5.13457888151321,5.206362606237722,0.852079001971946,0.3548964994109328,2.757497697365755,16.135558399573863,4.567410249311999,3.9183944739283234,3.9731753930200995,0.6502542330585955,0.27083515789681956,2.1043524675666725,12.313664728041884,3.4855662935678433,0.2739083620185838,0.5913512354295979,0.38365078795918767,0.3424408500222285,0.10931787912265528,25.264320902614358,0.3041114710524647,0.15111909011860078,37.681633379725206,0.3742213087449169,0.3742213087449169,0.3742213087449169,current_projection_fit
2026007,Kingston Flemings,2026,7,Houston,0.0,,primary_creator,small_guard,,,,,,,,,74.5,183.0,75.5,1.0,98.5,,0.7567567567567568,0.16574585635359115,0.8342541436464088,0.10714285714285714,0.8928571428571429,0.5853658536585366,0.41463414634146345,0.21649484536082475,0.7835051546391752,0.41463414634146345,4.54054054054054,0.2472398439214294,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PG,PG,31.7,26.0,32.6,11.1,3.0,1.3,1.8,0.563,12.6,6.6,6.0,0.227,0.845,3.5,G,2025-26,FR,0.3598144329896908,projection,25.082981061336675,14.90746296915137,0.2343871576354299,0.3581713300200453,0.20029189633184796,0.0926265100692958,0.0337671845438512,0.07509427344971767,0.017952562248848242,0.009033171889362715,0.169,0.23775000000000002,0.23869445049264543,-0.021305549507354582,0.868662074637695,8.0,203898,Tyler Ennis,"Tyler Ennis, De'Aaron Fox, Derrick Rose",0.28332871913044494,0.23904802893997196,0.18469459413504688,0.17504664474085754,0.11788201305367828,0.10531332011546682,0.17801539901497831,0.306599088193414,0.2560965656150832,0.2577188444009494,0.1795855017905536,0.40905462001521325,0.5909453799847866,0.05316998897171485,-0.058196239137629446,-0.07301331998577384,0.019513406351738274,-0.04233567659013357,0.09550566556184871,0.7940695809325831,0.7998171033132913,1.4054517531434636,0.637643966494303,1.648426586273352,0.5681621271892204,0.5606786553292264,0.5606786553292264,0.35566095089192995,0.35566095089192995,0.35566095089192995,0.12204847968195175,0.1207923105460048,0.12204847968195175,0.6184735993879478,0.6055574529364037,0.6055574529364037,4.274562568600312,4.791556172393888,4.791556172393888,0.12707035073603265,0.12415193943893121,0.12415193943893121,1.345845055243424,1.5699400631340423,1.5699400631340423,13.716887694738862,19.31271661395523,5.463562072962305,5.23988677114962,1.2849943041434637,0.45835468025135084,2.825042868862325,16.068292446822237,4.495178574233463,3.8067340000986345,3.6508883512304027,0.8953191054098889,0.31935838233665725,1.9683471326982758,11.195574309212814,3.132013306800676,0.31410103296460457,0.6048250186054831,0.3581713300200453,0.3277276370153501,0.10617143888913326,26.124746853925775,0.29482620200809867,0.1567705585355535,37.39745669708197,0.35566095089192995,0.35566095089192995,0.35566095089192995,current_projection_fit
2026015,Aday Mara,2026,15,Michigan,4.0,,rim_runner,center,,,,,,,,,87.0,260.0,90.0,3.0,117.0,,0.4449760765550239,0.518324607329843,0.481675392670157,0.45454545454545453,0.5454545454545454,0.9444444444444444,0.05555555555555558,0.5316455696202531,0.4683544303797469,0.05555555555555558,2.8181818181818183,0.3250787810501419,0.12210924210910351,0.0,0.0,0.5315099999999998,0.4684900000000002,0.6954814999999999,0.0,C,C,23.4,23.1,19.0,17.7,0.8,12.0,10.4,0.659,14.3,5.8,8.4,0.033,0.564,3.5,C,2025-26,JR,0.5333398058252427,projection,26.536502557732785,12.684380350632942,0.20149969720579347,0.11057482658582854,0.15586450462101378,0.11110430435437568,0.06819741943241943,0.11991145531692707,0.011022145109635461,0.044610387464766234,0.13,0.193875,0.1938328109319298,-0.04316718906807018,1.037090316158983,8.0,1627751,Jakob Poeltl,"Jakob Poeltl, Deandre Ayton, Joel Embiid",0.029367983785774376,0.6775280247633777,0.18363506351420378,0.07027451502271265,0.039194412913931026,0.0,0.047769265559228,0.7271771822977934,0.20302620846253966,0.06210001152438868,0.007696597715277212,0.5161559010659833,0.4838440989340166,-0.11939234679273802,0.08524152338596735,0.023442559099847646,0.03643959197729193,-0.1206923436769062,0.019701278657621904,1.045105810837294,1.128759033002125,2.3782486940207,0.6361921571278398,2.564373724350289,0.6318344547342917,0.645663623734098,0.645663623734098,0.30436803515460675,0.30436803515460675,0.30436803515460675,0.12122503285284082,0.12293488144585227,0.12122503285284082,0.7173426381747248,0.7603118973952668,0.7603118973952668,4.448264593732072,4.2771380261395,4.2771380261395,0.12825255416221398,0.13019213663478693,0.13019213663478693,1.5910311953668566,1.5337886704920694,1.5337886704920694,14.894146441988035,15.630777872440206,9.358703156399985,3.1128118591225142,0.8859554067019313,1.857255329728665,1.8701495239742798,12.406841601859416,3.1225264902390943,6.898534729079724,2.294531662815154,0.6530599421106387,1.3690294668807657,1.378534100730173,9.145393997253553,2.3016925609671697,0.6181820281094355,0.6653466082890873,0.11057482658582854,0.27124314530473603,0.13591337666798675,23.86422142333595,0.25325976818590934,0.16446008517924793,35.217073063971796,0.30436803515460675,0.30436803515460675,0.30436803515460675,current_projection_fit
2026004,Caleb Wilson,2026,4,North Carolina,2.0,,two_way_wing,forward_big,,,,,,,,,81.25,211.0,84.25,3.0,108.0,,0.5882352941176471,0.39263803680981596,0.6073619631901841,0.2608695652173913,0.7391304347826086,,,0.4444444444444444,0.5555555555555556,,3.0303030303030303,0.6826613811425517,0.05985920549266428,0.73365,0.8436975,0.0,0.0,1.0,0.0,SF,SF,31.3,28.7,18.1,11.0,2.8,4.4,10.5,0.626,14.0,8.7,5.3,0.092,0.713,7.5,F,2025-26,FR,0.6825945945945948,projection,26.906773196350983,18.292207440202755,0.24378838209619969,0.2114070136656763,0.14786152965389637,0.09933183146218864,0.043859369288119295,0.09487563170395003,0.01630712472992607,0.01747585274119852,0.254,0.16575,0.16989912483085942,-0.11710087516914056,1.0073959483664823,8.0,1628367,Josh Jackson,"Josh Jackson, Henry Walker, Patrick Williams",0.14224602314536142,0.5541647205559235,0.11074063319353121,0.09171389888471033,0.10113472422047351,0.08786528160721385,0.05438074153814715,0.6246119429338959,0.10998401262758627,0.12349955628815779,0.14190448815035986,0.5777147635698261,0.42228523643017374,0.052815128836418423,0.0490682516807871,-0.039611183022825056,0.013584669615449907,0.011683408677373455,0.04113172015904455,1.1159733380418941,0.8486636175699047,1.462707800934479,0.6781868963645784,2.8504253459036732,0.598957633036841,0.6134729518602373,0.6134729518602373,0.32794179384548827,0.32794179384548827,0.32794179384548827,0.12108158346224687,0.12364573224122145,0.12108158346224687,0.8113387341889275,1.0306894552469772,1.0306894552469772,4.770206050262286,5.219840301654317,5.219840301654317,0.1431251612741803,0.14737446895520548,0.14737446895520548,1.8668696847758721,1.9374813524577308,1.9374813524577308,17.50649364497622,19.627029065503994,6.953681409182507,3.516370112691976,1.3905591835541837,0.7798925341945346,2.9088141645096197,15.053018462490195,4.719147276898421,5.197253571015445,2.628171474906393,1.0393183491109839,0.5828997648638818,2.174077860966486,11.250782046964101,3.52713959610231,0.4422977332789998,0.6517026404493442,0.2114070136656763,0.34629525305532394,0.11965289643304426,28.55327470816793,0.3048211509567072,0.16201303379847543,37.75151295932176,0.32794179384548827,0.32794179384548827,0.32794179384548827,current_projection_fit
2026017,Hannes Steinbach,2026,17,Washington,3.0,,rim_runner,forward_big,,,,,,,,,82.25,248.0,86.25,4.0,108.0,,0.3402061855670103,0.6373626373626373,0.3626373626373627,0.2,0.8,,,0.6766467065868264,0.32335329341317365,,1.65,0.684575293218756,0.42148587660816156,0.581800289017341,0.0,0.639689980732177,0.0,1.0,0.0,PF,PF,34.6,23.9,9.1,11.9,1.8,3.9,14.3,0.636,10.1,7.7,2.4,0.146,0.759,5.3,F,2025-26,FR,0.4858285714285714,projection,23.994184335621426,12.609921204992869,0.19884990968319863,0.2239333899690709,0.1754330043517445,0.0979866194599052,0.05854943241943238,0.11435054051579013,0.01374655645756676,0.016284374138142273,0.149,0.17475,0.17701886092979333,-0.061981139070206664,0.6034765699907538,8.0,1630192,Zeke Nnaji,"Zeke Nnaji, Domantas Sabonis, Jalen Smith",0.23112492944695417,0.5191002253692089,0.13732322655939283,0.059031806387305034,0.05341981223713893,0.08138775623552852,0.14973717321142574,0.6684753814366782,0.1756722117629275,0.08074433208614118,0.075108074714253,0.4293813885237922,0.5706186114762077,0.11574031406233888,-0.16774602104382452,0.03311308010756793,0.05341981223713893,0.004464679312451619,0.11127563474988733,0.8734324559337729,2.7957724984826458,,0.6440720827856884,1.7118558344286232,0.6105856982659701,0.6223225179256163,0.6223225179256163,0.3454501902251148,0.3454501902251148,0.3454501902251148,0.11996691139007651,0.12136255638913857,0.11996691139007651,0.8902331026013531,0.7716690419772457,0.7716690419772457,3.8833731398390987,3.912414698778249,3.912414698778249,0.13759146566955632,0.1387347159799318,0.1387347159799318,1.1778845292569315,1.137995682241449,1.137995682241449,11.980030727237406,19.321270301862068,9.347568715044677,3.355804422252823,0.9856542696474876,0.7707788299238756,2.6246387733914944,14.702888818762453,3.612358169954399,6.230202412185275,2.2366608306063274,0.6569436176976146,0.5137280368663352,1.7493351817548564,9.79955068287593,2.407655217115942,0.5043721579385416,0.6686755370821255,0.2239333899690709,0.2716944520923875,0.12285814689163306,23.28338434163141,0.27179005673523665,0.1575115590763718,36.375700111082764,0.3454501902251148,0.3454501902251148,0.3454501902251148,current_projection_fit
2026009,Mikel Brown Jr.,2026,9,Louisville,0.0,,secondary_creator,guard,,,,,,,,,75.5,190.0,79.5,4.0,100.5,,0.6339285714285714,0.22807017543859648,0.7719298245614035,,,0.509090909090909,0.49090909090909096,0.2553191489361702,0.7446808510638299,0.49090909090909096,2.0285714285714285,0.25251268891087275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PG,PG,29.2,31.4,30.3,16.4,2.4,0.5,0.2,0.577,6.6,4.9,1.7,0.586,0.844,5.8,G,2025-26,FR,0.01076111111111111,projection,29.05263638744103,17.09297114870712,0.24995383298523846,0.5081044161499279,0.20164302693611602,0.09661305752184321,0.02585213183421516,0.07072753304406451,0.014682854722731894,0.007107452288273029,0.311,0.2295,0.23141105834886933,-0.08258894165113068,0.8767052295811377,8.0,1626156,D'Angelo Russell,"D'Angelo Russell, Coby White, Markelle Fultz",0.535529115662385,0.1906921305218743,0.13320766565030584,0.0857836221630322,0.05478746600240296,0.1849859644922781,0.35054315117010615,0.4452142050035345,0.2653325604529777,0.17788799173108683,0.11156524281240106,0.27960940982844373,0.7203905901715564,-0.04908626895299961,-0.033542042384864884,0.037996011543563205,0.006999855382933962,-0.10732172781541421,0.058235458862413825,0.8247410682852361,1.5462571588932934,0.9697594182924093,0.5592188196568875,1.4407811803431128,0.5684173405696568,0.5672283105589645,0.5672283105589645,0.36952815525254895,0.36952815525254895,0.36952815525254895,0.1187408332597543,0.11736363476477137,0.1187408332597543,0.09525931904359194,0.29671797509550984,0.29671797509550984,3.807418674265003,4.396357258141303,4.396357258141303,0.09678594410847617,0.10514592979511152,0.10514592979511152,1.1205056065034842,1.433388214467242,1.433388214467242,18.711034782047246,19.578330166753315,5.190669547072629,5.294926334066536,1.1288954498462025,0.34393468154004575,2.854862662880927,16.117547675752842,4.711728978561539,4.188962082179564,4.273099152275588,0.9110385839949553,0.2775613678837021,2.3039246355767005,13.007145891135906,3.8024485769532594,0.2520276067995652,0.5996396993093515,0.5081044161499279,0.2398679770505069,0.10806507657935635,26.533889527090107,0.2977054604628381,0.14981762203628052,37.68984452403457,0.36952815525254895,0.36952815525254895,0.36952815525254895,current_projection_fit
2026031,Tarris Reed Jr.,2026,31,UConn,4.0,,dominant_big,forward_big,,,,,,,,,83.0,264.0,,,,,,,,,,,,,,,,0.26175816456277046,0.03547585247954446,0.0,0.0,0.3739499999999999,0.0,1.0,0.0,C,C,,,,,,,,,,,,,,,,,,0.0,projection,23.74159549472916,10.358931277239684,0.18544650136506105,0.2687834253823696,0.08255676416501886,0.10401828485007064,0.0760948516915184,0.11802142625583291,0.012290868685012666,0.01264050702120385,0.151,0.173625,0.17470885239168862,-0.08629114760831139,0.8371573098748242,8.0,201574,Jason Thompson,"Jason Thompson, Enes Freedom, Justin Hamilton",0.41763698635916024,0.41029846201132847,0.12097183309515919,0.033401452110250016,0.01769126642410196,0.20933730085984265,0.2082996854993161,0.6544002734703857,0.22151833667789886,0.08081807314936651,0.043263316702348995,0.4365518560352092,0.5634481439647908,,,,,,,,,,,,0.5874035198955768,0.5881961909948834,0.5881961909948834,0.38515292316941496,0.38515292316941496,0.38515292316941496,0.11778978792288035,0.11563804903617037,0.11778978792288035,0.20139792992288616,0.02859233891059079,0.02859233891059079,3.269282436537905,3.3178112639258432,3.3178112639258432,0.11601374945068227,0.1146910166133628,0.1146910166133628,0.8794277463995679,0.805399026329175,0.805399026329175,10.36833326568516,16.521613156088005,8.608556249212048,1.8580769841898588,0.9859957954944006,0.45895391040078054,1.8123591413419844,12.984075538401935,2.9567804054571885,5.677246118400426,1.2253808932417194,0.6502531482258821,0.3026749469849862,1.1952304895810018,8.562851925159626,1.9499634542529403,0.36365816982349575,0.637244462814367,0.2687834253823696,0.36755840479413465,0.09942584079782894,22.796984240208932,0.2543833427221272,0.14766320891886078,33.72538981109212,0.38515292316941496,0.38515292316941496,0.38515292316941496,current_projection_fit
2026057,Rafael Castro,2026,57,George Washington,4.0,,dominant_big,forward_big,,,,,,,,,82.25,224.0,,,,,,,,,,,,,,,,0.26711741070278405,0.036240245124924304,0.0,0.0,0.455,0.0,1.0,0.0,C,C,,,,,,,,,,,,,,,,,,0.0,projection,23.81695824587802,10.435106140722368,0.18149971827347725,0.2717198142712585,0.08331544618472171,0.10395267226424376,0.07569810746352416,0.11783709188578259,0.012406408296499154,0.012657902329815025,0.151,0.174125,0.17484272831644862,-0.06715727168355137,0.9074928044960298,8.0,201574,Jason Thompson,"Jason Thompson, Enes Freedom, Marreese Speights",0.4446619684866852,0.3790518313655733,0.1050303787827003,0.04640015746542099,0.024855663899620295,0.21777446218027663,0.22688750630640683,0.6263490928749929,0.20326013079570898,0.10534639579522997,0.06504438053406805,0.4467800857146049,0.5532199142853951,,,,,,,,,,,,0.588658377183328,0.590782444734704,0.590782444734704,0.3703957475676929,0.3703957475676929,0.3703957475676929,0.11697738174303325,0.11506862725861847,0.11697738174303325,0.10946368780742761,0.11047731160501557,0.11047731160501557,3.1837867827480624,3.0883982334681215,3.0883982334681215,0.10629060481024917,0.10943631419719838,0.10943631419719838,0.9186794227984546,0.909287391486562,0.909287391486562,10.24845857672342,16.023933893357405,8.615924661726057,1.8614929916727734,1.0254447649176477,0.45895391040078054,1.779436171284099,12.841586057470911,2.9318778488553456,5.700142164387783,1.2315305793795834,0.6784159763749393,0.30363572557771756,1.1772432497966232,8.49576441504539,1.9396781196722896,0.3632267357543985,0.638198110298417,0.2717198142712585,0.3650534499743429,0.09987581578475074,21.87891273127326,0.24902231093543817,0.13619616254747804,33.94918320886084,0.3703957475676929,0.3703957475676929,0.3703957475676929,current_projection_fit
2026059,Tobe Awaka,2026,59,Arizona,3.0,,dominant_big,forward_big,,,,,,,,,81.25,261.0,,,,,,,,,,,,,,,,0.2988326180920211,0.04096875596945287,0.0,0.0,0.26887499999999986,0.0,1.0,0.0,PF,PF,,,,,,,,,,,,,,,,,,0.0,projection,23.62839299276243,10.047504948794675,0.1811711242606139,0.2768869293325818,0.08377147827524031,0.0988094593977452,0.0793391863075197,0.11791305232424093,0.012572414506201035,0.009646008290499837,0.229,0.19925,0.2006601374144791,0.0056601374144790995,0.5463082036657076,8.0,202683,Enes Freedom,"Enes Freedom, Lavoy Allen, DJ White",0.43182979046992265,0.41204024312202764,0.11483296367757136,0.03184693209424881,0.009450070636229269,0.2119562003357629,0.21987359013415894,0.6705826400255546,0.20948363256748437,0.07953102862698311,0.04040269877997808,0.43595729247020737,0.5640427075297926,,,,,,,,,,,,0.5668892712115573,0.572140415164798,0.572140415164798,0.3703538213421135,0.3703538213421135,0.3703538213421135,0.11665612523819537,0.11338819201915952,0.11665612523819537,0.09701652365774452,0.020250812325378224,0.020250812325378224,2.986883131761817,3.07152531665199,3.07152531665199,0.10460140432119334,0.1076341642926614,0.1076341642926614,0.8933603239768684,0.8548902579046277,0.8548902579046277,9.771235380572682,16.18303148946266,8.669951577657997,1.8355528316579686,0.9917709039107377,0.4526089291923038,1.798869742028041,12.632372916540326,2.8458170393239173,5.690472864031216,1.2047545462608995,0.6509431298997259,0.2970672680830316,1.1806778113174368,8.291185325087316,1.8678356497401434,0.36457723261464825,0.6384617422074269,0.2768869293325818,0.35853583805276995,0.10054682734241648,22.507737146532243,0.2577865960402,0.14856136308071713,33.58287023427174,0.3703538213421135,0.3703538213421135,0.3703538213421135,current_projection_fit
