source_dataset,player_id,player_name,draft_year,pick_number,college,college_year_season,college_year_team,college_year_class_year,college_season_number,college_season_count,college_year_age,college_year_pos,ast_pct_actual,ast_pct_expected,ast_pct_deviation,tov_pct_actual,tov_pct_expected,tov_pct_deviation,stl_pct_actual,stl_pct_expected,stl_pct_deviation,blk_pct_actual,blk_pct_expected,blk_pct_deviation,orb_pct_actual,orb_pct_expected,orb_pct_deviation,drb_pct_actual,drb_pct_expected,drb_pct_deviation,ts_pct_actual,ts_pct_expected,ts_pct_deviation,ws_per_40_actual,ws_per_40_expected,ws_per_40_deviation,bpm_actual,bpm_expected,bpm_deviation,ftr_actual,ftr_expected,ftr_deviation
training,201579,Roy Hibbert,2008,17,Georgetown,2007-08,Georgetown,SR,4,4,20.89,C,16.6,10.41020465981256,6.189795340187441,13.6,14.520824118699547,0.9208241186995476,,,,6.3,8.569184232077477,-2.2691842320774773,,,,,,,0.626,0.6200349806122467,0.00596501938775329,0.305,0.2484675762239156,0.05653242377608439,,,,0.49,0.5197340940752497,-0.02973409407524974
training,201580,JaVale McGee,2008,18,Nevada-Reno,2007-08,Nevada,SO,2,2,19.78,F,4.7,9.42774182856138,-4.72774182856138,15.9,14.13811889355219,-1.7618811064478095,,,,6.7,6.792394664307827,-0.09239466430782706,,,,,,,0.55,0.5631643762321117,-0.013164376232111641,0.179,0.20135030642110135,-0.022350306421101362,,,,0.395,0.4285862395837973,-0.033586239583797306
training,201581,JJ Hickson,2008,19,North Carolina State,2007-08,NC State,FR,1,1,19.16,F,9.2,9.14044471715106,0.05955528284893852,18.4,15.277001605539999,-3.1229983944599997,,,,3.5,5.390536220618245,-1.8905362206182446,,,,,,,0.621,0.5830184251835281,0.03798157481647191,0.175,0.19189504379164504,-0.016895043791645054,,,,0.707,0.598040129026377,0.10895987097362292
training,201583,Ryan Anderson,2008,21,California,2007-08,Cal,SO,2,2,19.49,F,9.7,13.06812263460421,-3.3681226346042106,11.6,11.011300424486834,-0.5886995755131661,,,,1.1,2.6689002311131977,-1.5689002311131977,,,,,,,0.618,0.5616456918395274,0.0563543081604726,0.204,0.21003276930822154,-0.006032769308221553,,,,0.424,0.35168179857459336,0.07231820142540663
training,201584,Courtney Lee,2008,22,Western Kentucky,2007-08,Western Ky.,SR,4,4,22.08,G,,,,11.8,9.916729533348349,-1.883270466651652,,,,,,,,,,,,,0.585,0.5599769542907663,0.025023045709233638,0.256,0.18386908499428847,0.07213091500571153,,,,0.331,0.24660944727295733,0.08439055272704268
training,201585,Kosta Koufos,2008,23,Ohio State,2007-08,Ohio St.,FR,1,1,18.68,F,,,,10.2,11.550253266934972,1.3502532669349723,,,,,,,,,,,,,0.551,0.608066468155123,-0.05706646815512295,0.211,0.21023770240886339,0.000762297591136607,,,,0.229,0.3523814015474646,-0.1233814015474646
training,201588,George Hill,2008,26,IUPUI,2007-08,IU Indy,JR,4,4,21.49,G,24.2,28.646285524322337,-4.446285524322338,15.3,15.517479366851619,0.2174793668516184,,,,0.8,1.270989020962859,-0.4709890209628589,,,,,,,0.661,0.6083431276317787,0.052656872368221364,0.266,0.20672661629209976,0.05927338370790025,,,,0.606,0.49242517809395514,0.11357482190604484
training,201589,Darrell Arthur,2008,27,Kansas,2007-08,Kansas,SO,2,2,19.6,F,6.5,8.13817135484346,-1.6381713548434593,14.3,13.281827714156254,-1.0181722858437467,,,,,,,,,,,,,0.569,0.5785853174466788,-0.009585317446678898,0.234,0.23903134671382908,-0.005031346713829071,,,,0.289,0.4441094133414728,-0.15510941334147282
training,201590,Donte Greene,2008,28,Syracuse,2007-08,Syracuse,FR,1,1,19.69,F,10.6,10.325853708202203,0.2741462917977966,13.5,12.356304231729922,-1.143695768270078,,,,2.9,3.28378566845583,-0.3837856684558303,,,,,,,0.531,0.5768918167845792,-0.04589181678457921,0.124,0.18122071833793676,-0.057220718337936766,,,,0.255,0.29314019733745034,-0.03814019733745033
training,201591,DJ White,2008,29,Indiana,2007-08,Indiana,SR,4,4,21.17,F,5.2,10.257532384624135,-5.0575323846241345,12.2,14.071120357098902,1.8711203570989028,,,,3.5,5.4413776505228135,-1.9413776505228135,,,,,,,0.632,0.5980150694882346,0.03398493051176543,0.275,0.22653735621026694,0.048462643789733084,,,,0.577,0.509957368041173,0.06704263195882698
training,201592,J.R. Giddens,2008,30,New Mexico,2007-08,New Mexico,SR,4,4,22.71,G,22.5,22.53217918300993,-0.03217918300993006,13.2,13.552070560000335,0.3520705600003353,,,,3.0,2.7983615633576426,0.20163843664235737,,,,,,,0.558,0.5684117767153648,-0.010411776715364751,0.269,0.1902463028121276,0.07875369718787242,,,,0.386,0.45174436378236266,-0.06574436378236265
